job,number,place,pub_time,title
产品/项目类,1,深圳,2019-04-28,TEG04-腾讯微校大项目经理（深圳）
产品/项目类,1,北京,2019-04-28,CSIG16-自动驾驶云平台产品经理-交付方向
技术类,1,上海,2019-04-28,PCG04-后台开发工程师
职能类,1,北京,2019-04-28,WXG08-511 微信事业群部门秘书（北京）
技术类,1,广州,2019-04-28,WXG11-113 微信读书后台开发工程师（广州）
产品/项目类,1,成都,2019-04-28,WXG10-221 企业微信产品策划经理（成都）
技术类,1,广州,2019-04-28,WXG03-微信开放平台运营开发工程师
技术类,1,深圳,2019-04-28,26564-iOS开发工程师(深圳)
技术类,1,北京,2019-04-28,TEG03-自然语言处理工程师（北京）
内容编辑类,1,北京,2019-04-28,22088-节目编导
市场类,1,北京,2019-04-28,29925-腾讯视频电视剧整合营销项目经理（北京）
技术类,1,深圳,2019-04-28,26564-Android终端开发工程师（深圳）
设计类,1,深圳,2019-04-28,14914-品牌创意经理（深圳）
产品/项目类,2,深圳,2019-04-28,TEG03-产品经理（深圳）
产品/项目类,1,上海,2019-04-28,30361-图片工具客户端策划岗位
市场类,1,北京,2019-04-28,27087-市场营销
技术类,1,北京,2019-04-28,TEG03-后台开发工程师（北京）
技术类,1,北京,2019-04-28,TEG03-Web前端开发工程师（北京）
技术类,5,深圳,2019-04-28,TEG03-大数据开发工程师(深圳）
产品/项目类,1,北京,2019-04-28,23671-企鹅号策略产品经理（视频理解方向）
技术类,5,深圳,2019-04-28,TEG03-后台开发工程师（深圳）
技术类,2,北京,2019-04-28,TEG03-高级算法研发工程师（北京）
,3,广州,2019-04-28,14914-微信公关经理（广州）
技术类,2,深圳,2019-04-28,TEG03-自然语言处理高级工程师（深圳）
技术类,5,深圳,2019-04-28,TEG03-高级算法研发工程师（深圳）
职能类,1,深圳,2019-04-28,TEG-HRBP（深圳）
技术类,2,上海,2019-04-28,22989-计算机视觉工程师（上海/深圳）（上海）
技术类,1,广州,2019-04-28,WXG03-小游戏引擎客户端开发(广州）
技术类,1,深圳,2019-04-28,31871-计划工程师
市场类,1,上海,2019-04-28,25666-政务KA销售（上海）
产品/项目类,1,上海,2019-04-28,30628-腾讯广告平台高级产品经理（上海）
技术类,2,深圳,2019-04-28,22989-计算机视觉工程师（上海/深圳）（深圳总部）
设计类,1,深圳,2019-04-28,TME-腾讯音乐交互设计师（深圳）
产品/项目类,1,深圳,2019-04-28,28994-区块链中台产品经理
职能类,1,深圳,2019-04-28,S2-PCG风控经理(深圳）
技术类,1,深圳,2019-04-28,31504-运维开发工程师
职能类,1,北京,2019-04-28,BJ-政府事务经理
技术类,2,上海,2019-04-28,24987-游戏客户端高级开发(上海)
技术类,1,深圳,2019-04-28,30359-服务管理高级工程师
产品/项目类,1,深圳,2019-04-28,18425-金融AI高级产品经理
设计类,1,深圳,2019-04-28,15712-视觉设计师（深圳）
技术类,1,上海,2019-04-28,24987-游戏后台高级开发（上海）
产品/项目类,1,深圳,2019-04-28,30622-腾讯广告Q系流量策略产品经理（深圳）
产品/项目类,1,深圳,2019-04-28,15569-手游用研数据分析（深圳）
技术类,1,深圳,2019-04-28,15579-游戏后台开发工程师（深圳）
产品/项目类,1,深圳,2019-04-28,PCG10-用户增长产品运营经理
市场类,1,深圳,2019-04-28,17467-商业分析师（深圳总部）
技术类,1,上海,2019-04-28,21229-游戏后台开发（上海）
产品/项目类,1,深圳,2019-04-28,TEG04-腾讯微校数据产品经理（深圳）
产品/项目类,1,深圳,2019-04-28,PCG10-平台策划产品经理
技术类,4,深圳,2019-04-28,29912-微视测试开发工程师（研发专场）
市场类,1,北京,2019-04-28,17467-商业分析师（北京）
设计类,1,深圳,2019-04-28,28481-医疗健康UI开发工程师（深圳）
产品/项目类,1,深圳,2019-04-28,TEG04-开源社区运营项目经理（深圳）
产品/项目类,1,深圳,2019-04-28,31967-游戏直播产品策划
技术类,1,北京,2019-04-28,30623-腾讯广告联盟后台功能策略开发高级工程师（北京）
产品/项目类,1,北京,2019-04-28,22090-信息流客户端高级产品经理
技术类,1,广州,2019-04-28,WXG07-创新产品前端高级工程师
产品/项目类,1,广州,2019-04-28,WXG10-221 企业微信产品策划经理（广州）
技术类,1,深圳,2019-04-28,31967-WEB前端开发高级工程师
产品/项目类,2,深圳,2019-04-28,PCG09-信息流策略推荐高级产品经理
产品/项目类,1,深圳,2019-04-28,21309-企鹅辅导-数据分析产品经理（深圳）
技术类,1,深圳,2019-04-28,PCG14-腾讯手游助手客户端开发（深圳）
技术类,2,深圳,2019-04-28,31871-服务器运营高级工程师
技术类,1,深圳,2019-04-28,PCG14-腾讯手游助手后台开发（深圳）
设计类,1,深圳,2019-04-28,15569-写实竞速手游高级3D赛车设计师（深圳）
设计类,1,深圳,2019-04-28,15569-写实竞速手游高级UI设计师（深圳）
产品/项目类,1,深圳,2019-04-28,15569-写实竞速手游高级叙事设计策划（深圳）
产品/项目类,2,深圳,2019-04-28,15569-写实竞速手游高级玩法策划（深圳）
技术类,2,深圳,2019-04-28,15569-写实竞速手游高级后台开发工程师（深圳）
设计类,2,深圳,2019-04-28,15569-写实竞速手游高级场景原画设计师（深圳）
设计类,2,深圳,2019-04-28,15569-写实竞速手游高级3D角色美术（深圳）
设计类,1,深圳,2019-04-28,15569-写实竞速手游高级3D动画特效师（深圳）
设计类,1,深圳,2019-04-28,15569-写实竞速手游高级2D机械原画设计师（深圳）
产品/项目类,1,深圳,2019-04-28,15569-横板射击手游市场运营（深圳）
设计类,3,深圳,2019-04-28,15569-写实竞速手游3D场景美术设计师（深圳）
技术类,1,深圳,2019-04-28,31504-自研业务资源运营规划
技术类,4,北京,2019-04-28,CSIG17-地图数据生产平台测试
产品/项目类,4,深圳,2019-04-28,22989-腾讯云高级文档开发经理（深圳）
技术类,1,成都,2019-04-28,WXG10-企业微信后台开发工程师（成都）
产品/项目类,2,深圳,2019-04-28,15569-写实竞速手游高级系统策划（深圳）
技术类,2,北京,2019-04-28,CSIG17-地图数据评测
产品/项目类,1,深圳,2019-04-28,TEG04-Code平台产品经理（深圳）
设计类,1,上海,2019-04-28,15573-高级技术美术（上海）
技术类,5,深圳,2019-04-28,31498-游戏引擎研发工程师（深圳）
技术类,1,上海,2019-04-28,15573-次世代UE4手游引擎开发工程师（上海）
产品/项目类,1,北京,2019-04-28,30625-腾讯广告教育行业广告运营（北京）
技术类,2,深圳,2019-04-28,31498-游戏服务器研发工程师
产品/项目类,1,深圳,2019-04-28,26699-智慧零售数据产品经理
设计类,1,深圳,2019-04-28,29911-短视频创意视觉设计师
技术类,2,深圳,2019-04-28,PCG04-后端开发工程师（深圳）
技术类,3,深圳,2019-04-28,31498-游戏客户端研发工程师（深圳）
技术类,2,深圳,2019-04-28,31498-游戏服务器研发工程师（深圳）
产品/项目类,1,深圳,2019-04-28,15569-写实竞速手游高级项目管理(深圳）
设计类,1,深圳,2019-04-28,PCG19-腾讯视频app视觉设计师
技术类,3,北京,2019-04-28,PCG19-用户增长基础算法工程师
产品/项目类,1,深圳,2019-04-28,28601-微信支付智慧硬件产品经理（深圳）
产品/项目类,1,深圳,2019-04-28,15583-互娱战斗策划（深圳）
产品/项目类,1,深圳,2019-04-28,TME-音兔运营
技术类,1,深圳,2019-04-28,PCG19-腾讯视频基础后台开发工程师（深圳）
技术类,1,深圳,2019-04-28,18435-java高级工程师（深圳）
产品/项目类,1,深圳,2019-04-28,15583-互娱关卡策划(深圳)
产品/项目类,1,成都,2019-04-28,19081-游戏音频设计师（成都）
市场类,1,深圳,2019-04-28,WXG09-微信支付品牌营销经理
内容编辑类,1,深圳,2019-04-28,29311-创意内容活动组leader（深圳）
产品/项目类,1,深圳,2019-04-28,30360-QQ小程序高级运营（深圳）
技术类,2,深圳,2019-04-28,22989-多媒体方向iOS/Mac高级研发工程师（深圳）
市场类,1,深圳,2019-04-28,30630-腾讯广告风险管理经理（深圳）
设计类,1,北京,2019-04-28,31677-腾讯地图位置服务视觉设计师（北京）
市场类,1,深圳,2019-04-28,29311-高级活动经理（深圳）
技术类,2,深圳,2019-04-28,22989-多媒体方向web前端高级研发工程师(深圳)
技术类,2,上海,2019-04-28,15618-游戏客户端开发工程师（上海）
设计类,1,广州,2019-04-28,WXG07-广研UI视觉设计师
产品/项目类,1,深圳,2019-04-28,TEG15-高级计费产品经理（深圳）
产品/项目类,1,深圳,2019-04-28,TEG15-项目管理工程师（深圳）
技术类,2,深圳,2019-04-28,22989-多媒体方向Android高级研发工程师（深圳）
技术类,3,深圳,2019-04-28,29912-微视前端开发工程师（研发专场）
市场类,1,北京,2019-04-28,CSIG16-商务拓展经理（手机厂商方向）
产品/项目类,1,深圳,2019-04-28,28604-212 微信支付C端应用产品经理（深圳）
技术类,2,深圳,2019-04-28,22989-多媒体方向Windows研发高级工程师(深圳)
技术类,1,深圳,2019-04-28,CS-腾讯公益web前端工程师（深圳）
市场类,1,深圳,2019-04-28,TME-全民K歌市场与用户研究经理（深圳）
市场类,1,深圳,2019-04-28,28096-商务拓展经理
技术类,1,深圳,2019-04-28,S2-ERP高级研发工程师
技术类,3,深圳,2019-04-28,22989-专有云高级前端web开发工程师
职能类,1,深圳,2019-04-28,31871-高级采购经理
技术类,4,上海,2019-04-28,22989-AI基础产品中心高级AI后台开发工程师（上海/深圳）（上海）
技术类,1,深圳,2019-04-28,28601-硬件电子工程师
市场类,1,深圳,2019-04-28,HY6-互娱校园推广经理（深圳）
市场类,4,深圳,2019-04-28,22989-商业分析经理
设计类,1,北京,2019-04-28,31677-腾讯车联网高级交互设计师（北京）
技术类,2,深圳,2019-04-28,22989-AI基础产品中心高级AI后台开发工程师（上海/深圳）（深圳总部）
技术类,1,深圳,2019-04-28,28601-嵌入式及系统开发工程师
技术类,2,广州,2019-04-28,25664-政务应用交付架构师
技术类,5,广州,2019-04-28,25664-腾讯云售前政务应用架构师
产品/项目类,1,深圳,2019-04-28,18302-《一起来捉妖》文案策划（深圳）
设计类,1,深圳,2019-04-28,27566-互动叙事类视觉导演（深圳）
技术类,1,深圳,2019-04-28,31504-中间件产品高级咨询顾问（深圳/北京）
产品/项目类,1,北京,2019-04-28,23671-企鹅号MCN/矩阵产品经理（北京）
产品/项目类,1,北京,2019-04-28,23671-企鹅号内容开放产品经理（北京）
产品/项目类,1,深圳,2019-04-28,18302-《一起来捉妖》角色设计策划（深圳）
技术类,1,深圳,2019-04-28,28601-硬件及系统质量工程师
市场类,3,福州,2019-04-28,25666-华南区域政府行业销售（福州/厦门/海口/三亚）
产品/项目类,1,北京,2019-04-28,23671-企鹅号基础平台产品经理(北京）
产品/项目类,1,深圳,2019-04-28,TEG04-腾讯微校产品策划经理（深圳）
产品/项目类,1,深圳,2019-04-28,25928-效能优化产品经理
技术类,1,深圳,2019-04-28,31504-大数据产品高级咨询顾问（深圳/北京）
技术类,1,北京,2019-04-28,TEG11-视频内容理解高级工程师(北京）
